,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
13,0.07276,0.06492,0.06552,0.06552,0.06492,0.06877,0.06492,0.06492,0.06878,0.06492,0.06492,0.06492,0.06877,0.06552,0.0699
14,0.07354,0.06539,0.06263,0.06539,0.06826,0.06539,0.06539,0.06264,0.06826,0.06539,0.06826,0.07044,0.06539,0.06539,0.06826
15,0.07455,0.06182,0.06447,0.06891,0.06182,0.06446,0.06447,0.06182,0.06446,0.07454,0.07455,0.06891,0.06892,0.06447,0.06182
16,0.07736,0.05913,0.06427,0.06684,0.06684,0.06684,0.05913,0.06684,0.05913,0.06427,0.07736,0.08946,0.05913,0.05913,0.06427
17,0.07698,0.05807,0.06262,0.05806,0.05806,0.07346,0.05806,0.0692,0.05806,0.07698,0.05807,0.05806,0.07698,0.0692,0.08813
18,0.07824,0.05986,0.05986,0.06525,0.06525,0.07081,0.06525,0.05986,0.05986,0.07081,0.05986,0.07824,0.07081,0.06525,0.07081
19,0.07951,0.06051,0.06051,0.06373,0.06373,0.07577,0.07039,0.0795,0.06373,0.06051,0.06051,0.06373,0.07039,0.06373,0.06373
20,0.08125,0.06462,0.05976,0.06463,0.06463,0.05976,0.05976,0.07546,0.06463,0.05976,0.06463,0.08125,0.06463,0.07546,0.05976
21,0.07901,0.05903,0.0653,0.05903,0.06832,0.0653,0.05903,0.0745,0.0653,0.0653,0.05903,0.079,0.05903,0.0745,0.06832
22,0.08604,0.0614,0.0688,0.0688,0.0688,0.0688,0.0614,0.0614,0.07136,0.0614,0.0688,0.0614,0.0614,0.0688,0.0614
23,0.08359,0.06087,0.06087,0.06755,0.06755,0.06755,0.06087,0.06087,0.06087,0.06755,0.06756,0.06756,0.07833,0.06755,0.06087
24,0.08891,0.06081,0.06081,0.06848,0.06081,0.06081,0.06848,0.06081,0.06081,0.06081,0.06848,0.06848,0.08219,0.06082,0.06848
25,0.08504,0.05817,0.06434,0.05817,0.05817,0.06434,0.06434,0.07284,0.06434,0.05817,0.06434,0.07284,0.05817,0.0801,0.07666
26,0.08257,0.05824,0.05824,0.06611,0.06611,0.06611,0.05824,0.07063,0.07139,0.06611,0.07063,0.05824,0.07063,0.07852,0.05824
27,0.08734,0.05822,0.06303,0.06303,0.06303,0.05822,0.07291,0.06303,0.06661,0.05822,0.06303,0.06661,0.06662,0.07505,0.07505
28,0.08399,0.06317,0.06515,0.06514,0.06515,0.06515,0.06811,0.06908,0.0681,0.06317,0.06515,0.06515,0.06515,0.06515,0.06317
29,0.07467,0.06581,0.06581,0.06678,0.06494,0.0658,0.06581,0.06678,0.06581,0.06581,0.06494,0.06494,0.06581,0.07048,0.0658
30,0.07055,0.06552,0.06551,0.06701,0.06552,0.067,0.06552,0.06552,0.06552,0.06552,0.067,0.067,0.06864,0.06551,0.06865
31,0.06838,0.06627,0.06622,0.06626,0.06627,0.06657,0.06627,0.06937,0.06627,0.06656,0.06624,0.06627,0.06657,0.06624,0.06624
32,0.07174,0.06545,0.06781,0.06546,0.06546,0.06545,0.06548,0.06782,0.06781,0.06548,0.06546,0.06783,0.06546,0.06546,0.06781
33,0.08179,0.0615,0.06151,0.06492,0.06152,0.06492,0.06492,0.06153,0.06153,0.06493,0.07576,0.06954,0.06492,0.06493,0.07577
34,0.08351,0.06198,0.06196,0.07126,0.06197,0.0663,0.0663,0.06198,0.0663,0.0663,0.06198,0.06629,0.07126,0.0663,0.0663
35,0.08693,0.05532,0.06231,0.07723,0.07044,0.06232,0.07045,0.07046,0.06235,0.06233,0.06235,0.06235,0.06235,0.06236,0.07045
36,0.08332,0.05548,0.06344,0.06346,0.07163,0.06345,0.06349,0.06347,0.08331,0.06346,0.06347,0.06347,0.06345,0.07164,0.06346
37,0.08462,0.05437,0.06054,0.06055,0.06055,0.07865,0.06055,0.06056,0.07865,0.06056,0.07479,0.06055,0.06056,0.07479,0.06972
38,0.08288,0.05265,0.05834,0.06909,0.07449,0.05834,0.07553,0.05834,0.05834,0.05835,0.05835,0.08859,0.07927,0.05835,0.06908
39,0.07197,0.05996,0.05995,0.06683,0.05996,0.05996,0.07563,0.05995,0.07197,0.05995,0.07196,0.05996,0.07757,0.07757,0.06683
40,0.07277,0.06198,0.06198,0.06198,0.07277,0.06198,0.07277,0.06651,0.06198,0.07277,0.06198,0.06651,0.06198,0.08006,0.06199
41,0.07063,0.06108,0.06108,0.06108,0.06108,0.07063,0.06578,0.06578,0.07902,0.07654,0.06108,0.06108,0.06553,0.06108,0.07856
42,0.06573,0.05725,0.05725,0.06573,0.0629,0.08327,0.06854,0.05725,0.0629,0.07648,0.07429,0.07272,0.07272,0.05725,0.06573
43,0.06591,0.05912,0.05912,0.06716,0.08153,0.06771,0.06591,0.06771,0.06041,0.05912,0.06771,0.07358,0.07998,0.05912,0.06591
44,0.06178,0.05485,0.05485,0.06527,0.06527,0.08416,0.06861,0.07249,0.05485,0.07376,0.05485,0.08251,0.07249,0.07249,0.06177
