,Naive,GMV,HRP,RP,SZCZ
2015-12-07,0.469374858370194,0.3976605152028132,0.39767543542080164,0.43140724570649747,0.2905803186672744
2015-12-08,0.42549925007814626,0.35510480068110817,0.3551170996195492,0.3882015206744387,0.2617380264588165
2015-12-09,0.43430961406037594,0.3647453206564897,0.3647598878896965,0.3974848832843141,0.26327984043454644
2015-12-10,0.4184070122636263,0.34947450943124214,0.3494867922944811,0.3819195526480035,0.26340422025329846
2015-12-11,0.41596816553628413,0.3471612213712867,0.34717258884528546,0.37956649539322607,0.2585283073251874
2015-12-14,0.4561079370250878,0.3844455332551948,0.38445873884206105,0.4181758660061472,0.28617712580247723
2015-12-15,0.4537464636627808,0.3822467485247114,0.38226054611280436,0.415894887701066,0.29599466801390406
2015-12-16,0.46190786928709127,0.3892920399321034,0.38930790559437356,0.42344566239971115,0.29763128115102466
2015-12-17,0.49038086227686506,0.41544582026924703,0.4154644176548097,0.4506588242014622,0.33024594729695256
2015-12-18,0.49318034436798475,0.41780080807295605,0.4178199974493957,0.45322111931072806,0.3307403342583133
2015-12-21,0.5206348786860886,0.44167594217887074,0.4416968306923241,0.4786950473246874,0.35128317769692785
2015-12-22,0.5256703377608363,0.4462696122038221,0.4462914673384948,0.4834839953985963,0.3627768396106543
2015-12-23,0.5109985180196888,0.4312961320593469,0.4313199691623528,0.46859953996850656,0.34916301623341983
2015-12-24,0.5281086576613243,0.4474749641127125,0.4475038084331069,0.4852015197020376,0.34133263661826807
2015-12-25,0.5444974060547545,0.46184905171797275,0.4618819792605926,0.5004724375116898,0.34633130097691045
2015-12-28,0.5162879443640276,0.43198098105070803,0.43201514926521845,0.47126929786141036,0.3158144137353789
2015-12-29,0.5248849753075384,0.4404316709673508,0.44046475614094915,0.479805179846043,0.3282416503227108
2015-12-30,0.5253008640095083,0.4414000525893236,0.4414331968908285,0.48053434439486886,0.33692062763890007
2015-12-31,0.520724261003066,0.438470447661349,0.43850252239713594,0.4768737620710093,0.3135896205497586
2016-01-04,0.4140949148414841,0.33669281271482987,0.3367172036025998,0.372718824458959,0.20584098706048226
2016-01-05,0.43123147154345465,0.3487743890745727,0.34880089802043823,0.3869008625997672,0.1894556158157128
2016-01-06,0.5017363364188947,0.4192578491357912,0.4192881891195437,0.45757760909694967,0.21609275921619497
2016-01-07,0.3974097812706705,0.3232929515271348,0.3233173188448284,0.3578256690997561,0.11604474250747998
2016-01-08,0.47089593206218705,0.39521610304992993,0.3952454059225572,0.4305502335866118,0.12938661467993806
2016-01-11,0.3806883315370255,0.3132178642737866,0.31324151411385315,0.3448733247845803,0.05922598351666397
2016-01-12,0.35811873990870513,0.2922105426744297,0.29223344513512073,0.3231650350285491,0.06765264363382184
2016-01-13,0.3264430649178749,0.2646168573550467,0.26463839873528183,0.2938377852902687,0.034993316088665294
2016-01-14,0.35855653158040957,0.2952790131546834,0.29530241178870176,0.3251520057043884,0.07296702861311233
2016-01-15,0.2903718807061495,0.2304374281217374,0.23045604843354028,0.25873208796801284,0.036974711908820845
2016-01-18,0.2849958077256325,0.22209795108897756,0.22211558329671655,0.2516351321530528,0.053366161086694675
2016-01-19,0.32681269313557926,0.26223198797205294,0.26225294134089405,0.2925803734641945,0.0892346995424047
2016-01-20,0.3136811952015832,0.24876935901640596,0.24878939812384004,0.27920182754438794,0.07523911766043279
2016-01-21,0.27619935986510513,0.21817160626328236,0.21818918958668276,0.24561003419604965,0.03469795550672661
2016-01-22,0.3101846749517154,0.25175713697279156,0.2517765690210856,0.2793981770745242,0.048761608165088566
2016-01-25,0.3386378733209303,0.278586568087124,0.278608872663342,0.3069810987663897,0.05715909212896508
2016-01-26,0.2365987178320894,0.18139012879633176,0.18140540991565346,0.20753417869572988,-0.016376046907125463
2016-01-27,0.2478690810797326,0.19226003743929976,0.19227777354400977,0.21857817816740077,-0.02271506146569391
2016-01-28,0.1883999606157185,0.1348260336162126,0.13484108674144135,0.16012487879263948,-0.05796311140597499
2016-01-29,0.2249549495584835,0.1677484087278287,0.16776579584577211,0.19469903234951502,-0.02315333645078299
2016-02-01,0.19689657481120793,0.13944433935979372,0.13946097428063986,0.1664331273614843,-0.03313091707142812
2016-02-02,0.22781914488358534,0.16938584879136975,0.1694035376326073,0.19685837239238912,-0.003164030916352867
2016-02-03,0.228615609494208,0.16839946953710716,0.168417014119147,0.1966378122462753,-0.00026567620558404226
2016-02-04,0.2454834982579266,0.18350788456649414,0.18352602273215246,0.21254434533264766,0.015727305337465136
2016-02-05,0.24085372104514136,0.1787272415329495,0.17874503638522476,0.20781656885741806,0.0033233640364007666
2016-02-15,0.23607966917761036,0.17309846468424217,0.17311611534001758,0.20255817229181639,0.0028428546765653095
2016-02-16,0.2805773850686344,0.21594699725563204,0.21596597940911733,0.24620116292492877,0.04189538995515529
2016-02-17,0.28785227367691735,0.22320846852389775,0.22322781641909062,0.2534753080348897,0.05396842617470976
2016-02-18,0.2978271387460649,0.23395309959294952,0.23397260388391072,0.2639140668487352,0.04926247756363433
2016-02-19,0.2965411097588304,0.2317472939933667,0.23176664328454288,0.2620956113550039,0.05402513972115219
2016-02-22,0.3328393187179004,0.2666440255133895,0.26666478583505326,0.29766508631147914,0.07566818239876993
2016-02-23,0.33557939852991603,0.27053479175835493,0.2705552901634709,0.30107349264910055,0.0682718149180146
2016-02-24,0.3378675352344329,0.27299157678288655,0.2730123174969352,0.3034624126127099,0.06909660910970938
2016-02-25,0.2524423306238537,0.1923896206742295,0.19240591341502533,0.22061804357394732,-0.009371975780994801
2016-02-26,0.28544235972842147,0.22657172514879242,0.22658773164328938,0.25435705066607706,-0.007025032735013648
2016-02-29,0.25996653560450134,0.20539215984483405,0.20540554910243114,0.23128815393736923,-0.056430725486886435
2016-03-01,0.299578978737465,0.24202232715905536,0.24203556625180123,0.26930996563577003,-0.03313152901349836
2016-03-02,0.38696921260860884,0.32523832395283603,0.32525057160931414,0.3545094834300415,0.012957686643236599
2016-03-03,0.39886351734048797,0.3361828373219966,0.33619484472399086,0.36592393573201387,0.012506249717687323
2016-03-04,0.40822073063948805,0.3442542352583404,0.34426600878686786,0.37457215241095,-0.010862334763326875
2016-03-07,0.43069586576430097,0.3658072773368102,0.3658191838917919,0.39656525212522875,0.006471505202723549
2016-03-08,0.4147771212762681,0.3505310795894607,0.3505433377089564,0.38098333644785876,0.009468621140490407
2016-03-09,0.3723985559045362,0.3091110779986259,0.3091236009643281,0.3390878297718578,-0.012269116979522932
2016-03-10,0.36103322649897174,0.2965266944319118,0.2965391637919004,0.3270247089162055,-0.026042677980890327
2016-03-11,0.36156907264664984,0.29646890553107985,0.2964815962904688,0.3272330172750695,-0.02883701291161711
2016-03-14,0.4003429623539412,0.33437212964316343,0.33438420643804956,0.3655634116508204,0.0024575593540998586
2016-03-15,0.3863762620839575,0.3218754540805313,0.3218871985863656,0.3523986051723609,-0.006974998691846701
2016-03-16,0.3707922096229306,0.3068901288115906,0.30690206676659226,0.33712987741975375,-0.017881901507303954
2016-03-17,0.4018621894169674,0.3368620522758192,0.3368736914454762,0.36762255951700684,0.015600799279316346
2016-03-18,0.43420361796509654,0.3678629515252321,0.3678744089613102,0.39925530162061484,0.050319623047830886
2016-03-21,0.47385837533668607,0.4040775755935009,0.40408928993932447,0.43703761456249635,0.07806992018978653
