,open,close,eob
1693,10298.5049,10296.291,2019-12-19 00:00:00+08:00
1694,10305.0967,10229.4863,2019-12-20 00:00:00+08:00
1695,10202.2285,10056.208,2019-12-23 00:00:00+08:00
1696,10080.3672,10189.2852,2019-12-24 00:00:00+08:00
1697,10176.7207,10229.5781,2019-12-25 00:00:00+08:00
1698,10239.7578,10303.7148,2019-12-26 00:00:00+08:00
1699,10326.5195,10233.7725,2019-12-27 00:00:00+08:00
1700,10203.8154,10365.957,2019-12-30 00:00:00+08:00
1701,10360.7832,10430.7656,2019-12-31 00:00:00+08:00
1702,10509.124,10638.8242,2020-01-02 00:00:00+08:00
1703,10666.6553,10656.4062,2020-01-03 00:00:00+08:00
1704,10599.4111,10698.2734,2020-01-06 00:00:00+08:00
1705,10725.1768,10829.0449,2020-01-07 00:00:00+08:00
1706,10776.707,10706.8682,2020-01-08 00:00:00+08:00
1707,10807.0371,10898.166,2020-01-09 00:00:00+08:00
1708,10927.9814,10879.8418,2020-01-10 00:00:00+08:00
1709,10893.9951,11040.2012,2020-01-13 00:00:00+08:00
1710,11074.8857,10988.7666,2020-01-14 00:00:00+08:00
1711,10978.2812,10972.3164,2020-01-15 00:00:00+08:00
1712,10986.6484,10967.4346,2020-01-16 00:00:00+08:00
1713,11001.6768,10954.3877,2020-01-17 00:00:00+08:00
1714,10981.5039,11115.8838,2020-01-20 00:00:00+08:00
1715,11077.6572,10953.4131,2020-01-21 00:00:00+08:00
1716,10896.5537,11072.0566,2020-01-22 00:00:00+08:00
1717,10947.8574,10681.9043,2020-01-23 00:00:00+08:00
1718,9706.5791,9779.668,2020-02-03 00:00:00+08:00
1719,9578.8662,10089.666,2020-02-04 00:00:00+08:00
1720,10159.5518,10305.498,2020-02-05 00:00:00+08:00
1721,10306.1152,10601.3418,2020-02-06 00:00:00+08:00
1722,10569.6523,10611.5508,2020-02-07 00:00:00+08:00
1723,10577.5566,10728.459,2020-02-10 00:00:00+08:00
1724,10749.9727,10768.627,2020-02-11 00:00:00+08:00
1725,10735.0469,10940.7949,2020-02-12 00:00:00+08:00
1726,10936.501,10864.3223,2020-02-13 00:00:00+08:00
1727,10854.4551,10916.3105,2020-02-14 00:00:00+08:00
1728,10974.9316,11241.499,2020-02-17 00:00:00+08:00
1729,11244.7646,11306.4863,2020-02-18 00:00:00+08:00
1730,11300.1611,11235.5947,2020-02-19 00:00:00+08:00
1731,11278.874,11509.0869,2020-02-20 00:00:00+08:00
1732,11506.6729,11629.6982,2020-02-21 00:00:00+08:00
1733,11620.6309,11772.375,2020-02-24 00:00:00+08:00
1734,11537.5527,11856.0811,2020-02-25 00:00:00+08:00
1735,11677.6279,11497.5527,2020-02-26 00:00:00+08:00
1736,11555.8184,11534.0176,2020-02-27 00:00:00+08:00
1737,11150.6592,10980.7744,2020-02-28 00:00:00+08:00
1738,11115.459,11381.7607,2020-03-02 00:00:00+08:00
1739,11597.6631,11484.2109,2020-03-03 00:00:00+08:00
1740,11411.5967,11493.0215,2020-03-04 00:00:00+08:00
1741,11644.4072,11711.3721,2020-03-05 00:00:00+08:00
1742,11555.458,11582.8154,2020-03-06 00:00:00+08:00
1743,11363.7949,11108.5479,2020-03-09 00:00:00+08:00
1744,11016.9238,11403.4668,2020-03-10 00:00:00+08:00
1745,11436.4375,11200.0498,2020-03-11 00:00:00+08:00
1746,11022.4014,10941.0137,2020-03-12 00:00:00+08:00
1747,10382.2217,10831.125,2020-03-13 00:00:00+08:00
1748,10867.6631,10253.2842,2020-03-16 00:00:00+08:00
1749,10337.9189,10202.7529,2020-03-17 00:00:00+08:00
1750,10294.9551,10029.5684,2020-03-18 00:00:00+08:00
1751,10023.1211,10019.8584,2020-03-19 00:00:00+08:00
1752,10150.7842,10150.125,2020-03-20 00:00:00+08:00
1753,9828.8984,9691.5342,2020-03-23 00:00:00+08:00
1754,9900.2207,9921.6826,2020-03-24 00:00:00+08:00
1755,10171.4648,10241.0762,2020-03-25 00:00:00+08:00
